snapnum	a		z
0 	0.020932 	46.773
1 	0.021948 	44.562
2 	0.023013 	42.454
3 	0.024016 	40.64
4 	0.025181 	38.712
5 	0.026403 	36.875
6 	0.027684 	35.122
7 	0.02889 	33.614
8 	0.030292 	32.012
9 	0.031762 	30.484
10 	0.033303 	29.027
11 	0.034919 	27.638
12 	0.03644 	26.442
13 	0.038208 	25.172
14 	0.040063 	23.961
15 	0.042007 	22.806
16 	0.043837 	21.812
17 	0.045964 	20.756
18 	0.048194 	19.749
19 	0.050533 	18.789
20 	0.052734 	17.963
21 	0.055293 	17.085
22 	0.057976 	16.248
23 	0.060789 	15.45
24 	0.063438 	14.763
25 	0.066516 	14.034
26 	0.069743 	13.338
27 	0.073128 	12.675
28 	0.076676 	12.042
29 	0.080017 	11.497
30 	0.083899 	10.919
31 	0.08797 	10.367
32 	0.090937 	9.9966
33 	0.092239 	9.8414
34 	0.096258 	9.3888
35 	0.099977 	9.0023
36 	0.10093 	8.908
37 	0.10583 	8.4495
38 	0.11096 	8.0122
39 	0.11635 	7.5951
40 	0.12141 	7.2363
41 	0.12491 	7.0054
42 	0.12731 	6.8551
43 	0.13348 	6.4916
44 	0.13996 	6.1449
45 	0.14264 	6.0108
46 	0.14606 	5.8466
47 	0.15315 	5.5298
48 	0.16058 	5.2276
49 	0.16678 	4.9959
50 	0.16837 	4.9394
51 	0.17654 	4.6645
52 	0.18423 	4.428
53	0.19317 	4.1768
54	0.19968 	4.0079
55	0.20254 	3.9373 
56 	0.21237 	3.7088
57 	0.22267 	3.4909
58 	0.23348 	3.283
59 	0.24481 	3.0848
60 	0.24949 	3.0081
61 	0.25669 	2.8958
62 	0.26787 	2.7331
63 	0.27954 	2.5773
64 	0.29034 	2.4442
65 	0.30156 	2.3161
66 	0.31173 	2.2079
67 	0.32224 	2.1033
68 	0.33311 	2.002
69 	0.34434 	1.9041
70 	0.35427 	1.8227
71 	0.36449 	1.7436
72 	0.375 		1.6667
73 	0.38399 	1.6042
74 	0.39506 	1.5312
75 	0.40453 	1.472
76 	0.41423 	1.4141
77 	0.42416 	1.3576
78 	0.43433 	1.3024
79 	0.44475 	1.2485
80 	0.45326 	1.2063
81 	0.46412 	1.1546
82 	0.473 		1.1142
83 	0.48205 	1.0745
84 	0.49128 	1.0355
85 	0.50068 	0.9973
86 	0.50306 	0.98785
87 	0.51268 	0.95053
88 	0.52002 	0.923
89 	0.52997 	0.8869
90 	0.54011 	0.85147
91 	0.55045 	0.81671
92 	0.55833 	0.79107
93 	0.56901 	0.75744
94 	0.57715 	0.73264
95 	0.5882 		0.70011
96 	0.59662 	0.67611
97 	0.60803 	0.64464
98 	0.61674 	0.62143
99 	0.62557 	0.59854
100	0.63453 	0.57598
101	0.64667 	0.54639
102	0.65592 	0.52457
103	0.66531 	0.50305
104	0.67484 	0.48183
105	0.6845 		0.46092
106	0.6943 		0.4403
107	0.70424 	0.41997
108	0.71432 	0.39993
109	0.72455 	0.38017
110	0.73492 	0.36069
111	0.74192 	0.34785
112	0.75254 	0.32883
113	0.76332 	0.31007
114	0.77424 	0.29158
115	0.78533 	0.27335
116	0.79281 	0.26134
117	0.80416 	0.24354
118	0.81567 	0.22599
119	0.82344 	0.21442
120	0.83522 	0.19728
121	0.84718 	0.18039
122	0.85525 	0.16925
123	0.86749 	0.15275
124	0.87575 	0.14188
125	0.88829 	0.12576
126	0.90101 	0.10987
127	0.90959 	0.099401
128	0.92261 	0.083884
129	0.93139 	0.073662
130	0.94473 	0.058507
131	0.95372 	0.048524
132	0.96738 	0.033724
133	0.97659 	0.023974
134	0.99057 	0.0095218
135	1 		0 
