snap        a         z  type
   0  0.04762  20.00000     3
   1  0.06250  15.00000     3
   2  0.07692  12.00000     1
   3  0.08333  11.00000     1
   4  0.09091  10.00000     1
   5  0.09644   9.36897     3
   6  0.10000   9.00000     1
   7  0.10580   8.45154     3
   8  0.11111   8.00000     1
   9  0.11608   7.61502     3
  10  0.12158   7.22483     3
  11  0.12500   7.00000     1
  12  0.13340   6.49640     3
  13  0.14286   6.00000     1
  14  0.14637   5.83206     3
  15  0.15332   5.52211     3
  16  0.16061   5.22609     3
  17  0.16667   5.00000     1
  18  0.17627   4.67326     3
  19  0.18466   4.41527     3
  20  0.19347   4.16880     3
  21  0.20000   4.00000     1
  22  0.21239   3.70832     3
  23  0.22255   3.49330     3
  24  0.23322   3.28781     3
  25  0.25000   3.00000     1
  26  0.25609   2.90483     3
  27  0.26767   2.73596     3
  28  0.27904   2.58374     3
  29  0.29022   2.44564     3
  30  0.30124   2.31966     3
  31  0.31210   2.20413     3
  32  0.32282   2.09772     3
  33  0.33333   2.00000     1
  34  0.34389   1.90791     3
  35  0.35426   1.82279     3
  36  0.36453   1.74324     3
  37  0.37472   1.66868     3
  38  0.38482   1.59861     3
  39  0.39485   1.53261     3
  40  0.40000   1.50000     1
  41  0.41471   1.41131     3
  42  0.42456   1.35539     3
  43  0.43435   1.30228     3
  44  0.44410   1.25173     3
  45  0.45381   1.20355     3
  46  0.46349   1.15755     3
  47  0.47313   1.11358     3
  48  0.48275   1.07147     3
  49  0.49234   1.03111     3
  50  0.50000   1.00000     1
  51  0.51147   0.95514     3
  52  0.52102   0.91932     3
  53  0.53055   0.88482     3
  54  0.54008   0.85156     3
  55  0.54961   0.81947     3
  56  0.55914   0.78847     3
  57  0.56867   0.75850     3
  58  0.57820   0.72950     3
  59  0.58824   0.70000     1
  60  0.59730   0.67421     3
  61  0.60686   0.64782     3
  62  0.61644   0.62221     3
  63  0.62604   0.59734     3
  64  0.63566   0.57317     3
  65  0.64530   0.54966     3
  66  0.65497   0.52679     3
  67  0.66667   0.50000     1
  68  0.67438   0.48284     3
  69  0.68413   0.46171     3
  70  0.69392   0.44109     3
  71  0.70374   0.42099     3
  72  0.71429   0.40000     1
  73  0.72349   0.38220     3
  74  0.73342   0.36347     3
  75  0.74340   0.34517     3
  76  0.75342   0.32728     3
  77  0.76349   0.30978     3
  78  0.76923   0.30000     1
  79  0.78377   0.27589     3
  80  0.79398   0.25947     3
  81  0.80425   0.24339     3
  82  0.81457   0.22763     3
  83  0.82495   0.21219     3
  84  0.83333   0.20000     1
  85  0.84589   0.18219     3
  86  0.85645   0.16762     3
  87  0.86707   0.15331     3
  88  0.87775   0.13927     3
  89  0.88850   0.12549     3
  90  0.89932   0.11195     3
  91  0.90909   0.10000     1
  92  0.92117   0.08557     3
  93  0.93220   0.07273     3
  94  0.94331   0.06010     3
  95  0.95449   0.04768     3
  96  0.96575   0.03547     3
  97  0.97708   0.02345     3
  98  0.98850   0.01163     3
  99  1.00000   0.00000     1
